Property_Name,Location,Region,Property_Age,Availability,Area_Tpye,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
1233,JP North ,Mira Road East Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Carpet Area,650.0,14615,19,2,2,95.0
1234,Unnamed Property,Hatkesh Udhog Nagar Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Carpet Area,660.0,18939,2,2,2,125.0
1235,Fressia Ranibello ,000 Malad East Mumbai,Malad Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,15714,9,2,2,165.0
1236,Neelsidhi Orbit ,Sector 11 Khanda Colony Navi Mumbai Mumbai,Khanda Colony Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,374.0,17379,10,1,1,65.0
1237,Neelsidhi Regalia ,Sector 11 Khanda Colony Navi Mumbai Mumbai,Khanda Colony Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,592.0,17736,10,2,2,105.0
1238,Rajesh Sea Star ,Sector 5 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1140.0,8333,6,2,2,95.0
1239,Elegant Olympia ,Sector 21 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,980.0,7142,2,2,2,70.0
1240,Tulsi Aura ,Sector 8 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,635.0,12913,6,1,2,82.0
1241,Neelkanth Heights ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1585.0,13249,17,3,3,210.0
1242,Aurum Q Residences ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,720.0,21527,20,2,2,155.0
1243,Unnamed Property,121 Vijay Nagari Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,1000.0,12500,4,3,3,125.0
1244,RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1650.0,12727,12,3,3,210.0
1245,Unnamed Property,Hiranandani Estate Thane Mumbai,Hiranandani Thane,10+ Year,Ready To Move,Carpet Area,450.0,16666,6,1,2,75.0
1246,VUB Paradise ,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,750.0,11466,3,2,2,86.0
1247,CIDCO Spaghetti Complex ,Sector 15 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,650.0,10769,6,1,1,70.0
1248,Geomatrix Silver Crest ,101 Sector 25 Khandeshhwar Navi Mumbai Mumbai,Khandeshhwar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,665.0,8721,1,1,1,58.0
1249,Unnamed Property,112 Dombivli West Thane Mumbai,Dombivli Thane,10+ Year,Ready To Move,Carpet Area,355.0,6197,3,1,1,22.0
1250,Kumar Vastu Pinnacle ,Borivali West Mumbai,Borivali Mumbai,0 to 1 Year,Ready To Move,Built Up Area,700.0,27285,12,2,2,191.0
1251,Puraniks Capitol ,123 Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,1 to 5 Year,Ready To Move,Super Built Up Area,994.0,8752,15,2,2,87.0
1252,Yash Plaza ,Sector 9 Kamothe Sector 9 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,575.0,8000,5,1,1,46.0
1253,Unnamed Property,Sector 31 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,8095,2,2,2,85.0
1254,Tirupati Icon ,Sector 20 Kamothe Sector 20 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1000.0,6500,1,2,1,65.0
1255,Resicom Sai Miracle ,Sector 22 Kamothe Sector 22 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,640.0,8593,4,1,1,55.0
1256,Rosa Gardenia ,121 Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,1 to 5 Year,Ready To Move,Super Built Up Area,950.0,7894,9,2,2,75.0
1257,Unnamed Property,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,650.0,5384,6,1,1,35.0
1258,Unnamed Property,Woodpark Hiranandani Estate Hiranandani Estate Thane Mumbai,Hiranandani Thane,5 to 10 Year,Ready To Move,Carpet Area,1011.0,28684,6,3,3,290.0
1259,SM Vision ,Sector 9 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1260.0,9841,3,2,2,124.0
1260,Bhagwati Imperia ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1700.0,11882,11,3,3,202.0
1261,Trishul Symphony ,Kharghar Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1850.0,10540,16,3,3,195.0
1262,Sai Yashaskaram ,Kharghar Sector 27 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1850.0,10540,6,3,3,195.0
1263,Om Rudra ,Kharghar Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1635.0,12844,18,3,3,210.0
1264,Kasturi Heights ,Kharghar Sector 20 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1850.0,11081,10,3,3,205.0
1265,Saurabh Avenue ,701 Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,780.0,11538,7,2,2,90.0
1266,Sai Prasad Residency ,404 Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,665.0,9774,4,1,1,65.0
1267,Sunrise Glory ,Shilphata Navi Mumbai Mumbai,Shilphata Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,680.0,5735,7,1,2,39.0
1268,Today Imperia ,Ulwe Sector 17 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1210.0,8016,5,2,2,97.0
1269,National Marvel ,Sector 17 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1555.0,8231,8,3,3,128.0
1270,Runwal Forests ,Runwal Forest T2 Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,620.0,26326,23,2,2,124.0
1271,Runwal Forests ,Runwal Forest Chs Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,945.0,17460,15,2,2,165.0
1272,Runwal Forests ,Tower 7 Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1050.0,24643,18,2,2,190.0
1273,Unnamed Property,Worli South Mumbai Mumbai,South Mumbai,1 to 5 Year,Ready To Move,Carpet Area,585.0,41025,5,2,2,240.0
1274,AR Elanza ,Prabhadevi South Mumbai Mumbai,South Mumbai,5 to 10 Year,Ready To Move,Carpet Area,805.0,49689,8,2,2,400.0
1275,Hiranandani Avalon ,Hhiranandani Garden Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Super Built Up Area,1050.0,30476,26,2,2,320.0
1276,RNA NG Vikas ,Beverly Park Mira Road Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Super Built Up Area,595.0,9243,5,1,1,55.0
1277,Goodwill Heritage ,Sector 16 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1286.0,8942,6,2,2,115.0
1278,Evershine Millennium Paradise ,Thakur Village Mumbai,Thakur Village,10+ Year,Ready To Move,Carpet Area,1100.0,24090,4,3,3,265.0
1279,Aurum Q Residences ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1157.0,14693,13,2,2,170.0
1280,Unnamed Property,Sector 50 Seawoods Navi Mumbai Mumbai,Seawoods Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,700.0,12857,3,2,2,90.0
1281,Sonal Dev Con Gopal Krishna ,901 Belapur Navi Mumbai Mumbai,Belapur Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1800.0,16666,9,3,3,300.0
1282,Monte South ,Byculla Byculla Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Carpet Area,1201.0,46960,18,3,3,564.0
1283,Lodha Dioro ,Wadala East Wadala Mumbai Harbour Mumbai,Mumbai Harbour,0 to 1 Year,Ready To Move,Carpet Area,1330.0,34736,16,3,4,462.0
1284,Unnamed Property,Dadar East Dadar East South Mumbai Mumbai,Dadar Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1600.0,37437,45,3,4,599.0
1285,Unnamed Property,Dadar East Dadar East South Mumbai Mumbai,Dadar Mumbai,0 to 1 Year,Ready To Move,Carpet Area,2100.0,38095,3,4,4,800.0
1286,Kulswamini Srushti Residency ,106 Dombivli East Thane Mumbai,Dombivli Thane,5 to 10 Year,Ready To Move,Super Built Up Area,985.0,7614,1,2,2,75.0
1287,Aboli Estate ,106 Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Carpet Area,450.0,9388,1,1,1,42.2
1288,Aboli Estate ,105 Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Carpet Area,669.0,9288,1,2,2,62.1
1289,Mangeshi Dazzle ,1102 Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Super Built Up Area,960.0,8500,11,2,2,81.6
1290,Kosmos Nandanvan ,Borivali West Mumbai,Borivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,695.0,33812,14,2,2,235.0
1291,K Guru Residency ,Borivali West Mumbai,Borivali Mumbai,5 to 10 Year,Ready To Move,Carpet Area,825.0,22424,2,2,2,185.0
1292,Haware Splendor ,601 Sector 20 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,850.0,12941,7,2,2,110.0
1293,Jalvayu Vihar ,601 Sector 20 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,11428,6,2,2,120.0
1294,Shah Royale ,601 Sector 2 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1120.0,12500,4,2,2,140.0
1295,R S Grandeur ,902 Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1210.0,10330,11,2,2,125.0
1296,Sai Yashaskaram ,902 Sector 27 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1150.0,11304,18,2,2,130.0
1297,Kasturi Heights ,802 Sector 20 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1630.0,12269,10,3,3,200.0
1298,Neelsidhi Anexo ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,700.0,13571,7,1,2,95.0
1299,Poonam Valley ,901 Miragaon Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,1030.0,8543,7,2,2,88.0
1300,Unnamed Property,Borivali East Mumbai,Borivali Mumbai,10+ Year,Ready To Move,Carpet Area,900.0,28888,6,3,3,260.0
1301,Pyramid Elements ,Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1050.0,12000,27,2,2,126.0
1302,Gundecha Asta ,Mehra Compound Sakinaka Mumbai,Sakinaka Mumbai,1 to 5 Year,Ready To Move,Carpet Area,886.0,24830,6,3,2,220.0
1303,Oak Residency ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1030.0,10679,5,2,2,110.0
1304,Balaji Mayuresh Delta ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1245.0,10240,10,2,2,127.0
1305,Raas Leela Vrindavan ,Ramdev Park Mira Road Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Carpet Area,650.0,11384,2,2,2,74.0
1306,Haware Citi ,200 Thane West Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Carpet Area,718.0,10167,2,3,3,73.0
1307,Unnamed Property,103 Mira Road Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,650.0,8923,1,1,2,58.0
1308,Unique Shanti The Address ,304 Mira Road Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,1060.0,8962,2,2,2,95.0
1309,Unique Shanti The Address ,201 Mira Road Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Carpet Area,450.0,15333,2,1,2,69.0
1310,Giriraj Sarvoday Greens ,Bhiwandi Mumbai Beyond Thane Mumbai,Bhiwandi,0 to 1 Year,Ready To Move,Super Built Up Area,1050.0,4714,10,2,2,49.5
1311,Anjani Sparsh ,204 Mira Road East Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,695.0,8920,2,1,2,62.0
1312,Unnamed Property,Sector 15 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,10476,2,2,2,110.0
1313,Unnamed Property,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1810.0,15469,37,3,3,280.0
1314,RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1427.0,14015,20,2,2,200.0
1315,RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1299.0,13856,10,2,2,180.0
1316,Unnamed Property,1004 Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Super Built Up Area,900.0,8333,10,2,2,75.0
1317,Unnamed Property,Bhaskar Colony Naupada Thane West Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Super Built Up Area,650.0,17076,5,1,1,111.0
1318,Unnamed Property,Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1151.0,14335,4,2,2,165.0
1319,Deep Auralis The Twins ,Teen Hath Naka Thane Mumbai,Teen-Hath-Naka Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1350.0,15777,26,2,3,213.0
1320,Deep Auralis The Twins ,Teen Hath Naka Thane Mumbai,Teen-Hath-Naka Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1920.0,12239,1,3,4,235.0
1321,Pridedream Giriraj Dreams ,Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1550.0,16451,22,2,2,255.0
1322,Pridedream Giriraj Dreams ,Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1150.0,16956,22,2,2,195.0
1323,Pridedream Giriraj Dreams ,Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1250.0,16880,22,2,2,211.0
1324,Pridedream Giriraj Dreams ,Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1600.0,18187,26,3,3,291.0
1325,Pridedream Giriraj Dreams ,Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1600.0,17937,26,3,3,287.0
1326,Pridedream Giriraj Dreams ,Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1200.0,17166,26,2,2,206.0
1327,Unnamed Property,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,686.0,8017,1,1,2,55.0
1328,Siddhi Belleza ,Kutak Bandhan Navi Mumbai Mumbai,Bandhan Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1185.0,7932,9,2,2,94.0
1329,Unnamed Property,0000 Kalher Thane Mumbai,Kalher Thane,0 to 1 Year,Ready To Move,Carpet Area,412.0,6075,2,1,2,25.0
1330,Unnamed Property,000 Kalher Thane Mumbai,Kalher Thane,0 to 1 Year,Ready To Move,Built Up Area,614.0,4500,2,1,1,27.6
1331,Unnamed Property,Naupada Thane Mumbai,Naupada Thane,0 to 1 Year,Ready To Move,Carpet Area,690.0,23043,6,2,2,159.0
1332,Kanakia Sevens ,5 Min Marol Metro Stn Near International Airpot Andheri Kurla Road Marol Andheri East Marol Mumbai,Andheri Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1250.0,21621,4,2,2,184.0
1333,Runwal Eirene ,2002 Balkum Thane Mumbai,Balkum Thane,0 to 1 Year,Ready To Move,Carpet Area,424.0,18396,10,1,2,78.0
1334,Chandiwala Pearl Heights ,Yagna Nagar Mumbai,Yagna Nagar,10+ Year,Ready To Move,Super Built Up Area,1137.0,20668,7,2,2,235.0
1335,Unnamed Property,Sector 5 New Panvel East Navi Mumbai Mumbai,Panvel Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,870.0,8620,2,2,2,75.0
1336,Adelphi Apartment ,Shastri Nagar Mumbai,Shastri Nagar,10+ Year,Ready To Move,Carpet Area,750.0,28000,6,2,2,210.0
1337,Unnamed Property,Sector 36 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,390.0,10000,14,1,2,39.0
1338,Unnamed Property,Sector 36 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,390.0,10256,3,1,1,40.0
1339,Unnamed Property,Sector 44 Seawoods Navi Mumbai Mumbai,Seawoods Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,2000.0,10500,1,3,2,210.0
1340,Sky Pan Apartment ,Shastri Nagar Mumbai,Shastri Nagar,5 to 10 Year,Ready To Move,Carpet Area,1200.0,35416,2,3,3,425.0
1341,Unnamed Property,Sector 20 Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,420.0,18571,4,1,1,78.0
1342,Unnamed Property,Sector 20 Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,390.0,17948,3,1,1,70.0
1343,Unnamed Property,501 Waghbil Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,700.0,10857,3,2,2,76.0
1344,Unnamed Property,Sector 20 Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,350.0,15714,2,1,1,55.0
1345,Group Seven Rushi Heights ,Near By Valentine Complex Malad East Mumbai,Malad Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,16190,23,2,2,170.0
1346,Unnamed Property,Teen Hath Naka Thane Mumbai,Teen-Hath-Naka Thane,1 to 5 Year,Ready To Move,Super Built Up Area,715.0,15384,5,2,2,110.0
1347,Godrej Platinum ,Pirojshanagar Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1700.0,50000,27,4,5,850.0
1348,Nine Realcon Glorious Lifestyle ,108 Nalasopara West Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,850.0,4647,1,2,2,39.5
1349,Unnamed Property,101 Nalasopara West Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Super Built Up Area,1050.0,4952,1,2,2,52.0
1350,Marathon Nexzone ,000 Palaspe Phata Navi Mumbai Mumbai,Palaspe Phata Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1215.0,11847,16,2,2,84.0
1351,Marathon Nexzone ,000 Palaspe Phata Navi Mumbai Mumbai,Palaspe Phata Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1215.0,11988,16,2,2,85.0
1352,Marathon Nexzone ,1001 New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,925.0,7567,10,2,2,70.0
1353,Siddhi Belleza ,701 Kutak Bandhan Navi Mumbai Mumbai,Bandhan Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1167.0,8140,9,2,2,95.0
1354,City Century One ,Sector 21 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,890.0,11123,14,2,2,99.0
1355,Unnamed Property,201 Panch Pakhadi Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1100.0,15000,2,2,2,165.0
1356,Trishul Symphony ,Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1455.0,9621,7,2,2,140.0
1357,Unnamed Property,Panchpakhadi Thane Thane West Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1500.0,16666,1,3,3,250.0
1358,Paradise Sai World City ,Palspa Pata Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1911.0,14652,29,4,4,280.0
1359,Paradise Sai World City ,Palspa Fata Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,1100.0,15909,15,3,3,175.0
1360,Paradise Sai World City ,Palaspa Fata Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,825.0,16363,15,2,2,135.0
1361,Aryan Land Breeze ,Sec 10 Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1100.0,8545,3,2,2,94.0
1362,Hiranandani Rodas Enclave ,Hiranandani Estate Thane Mumbai,Hiranandani Thane,5 to 10 Year,Ready To Move,Carpet Area,1500.0,24333,2,4,3,365.0
1363,Unnamed Property,12th Sector 14 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1600.0,14875,12,3,3,238.0
1364,Unnamed Property,Badlapur West Mumbai Beyond Thane Mumbai,Badlapur Mumbai,0 to 1 Year,Ready To Move,Built Up Area,650.0,5044,3,1,1,32.8
1365,Unnamed Property,Badlapur West Mumbai Beyond Thane Mumbai,Badlapur Mumbai,0 to 1 Year,Ready To Move,Built Up Area,900.0,4728,4,2,2,42.6
1366,Unnamed Property,Badlapur Mumbai Beyond Thane Mumbai,Badlapur Mumbai,0 to 1 Year,Ready To Move,Built Up Area,650.0,4615,5,1,1,30.0
1367,Shashwat Park 2 ,Badlapur West Mumbai Beyond Thane Mumbai,Badlapur Mumbai,1 to 5 Year,Ready To Move,Built Up Area,620.0,3387,0,1,1,21.0
1368,Shashwat Park ,Manjarli Mumbai Beyond Thane Mumbai,Manjarli Mumbai,1 to 5 Year,Ready To Move,Built Up Area,635.0,3425,7,1,1,21.8
1369,Heramb Park ,Badlapur West Mumbai Beyond Thane Mumbai,Badlapur Mumbai,1 to 5 Year,Ready To Move,Built Up Area,600.0,3333,0,1,1,20.0
1370,Heramb Park ,Badlapur West Mumbai Beyond Thane Mumbai,Badlapur Mumbai,1 to 5 Year,Ready To Move,Carpet Area,443.0,4966,7,1,1,22.0
1371,Unnamed Property,Neral Mumbai Beyond Thane Mumbai,Neral Mumbai,0 to 1 Year,Ready To Move,Carpet Area,410.0,4634,3,1,1,19.0
1372,Lodha Casa Bella Gold ,Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Carpet Area,628.0,8439,5,2,2,53.0
1373,Unnamed Property,Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Carpet Area,686.0,8600,7,2,2,59.0
1374,L and T Emerald Isle ,304 Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1356.0,19026,15,2,2,258.0
1375,Unnamed Property,Near Thakur Aspire Thakur Village Mumbai,Thakur Village,0 to 1 Year,Ready To Move,Carpet Area,600.0,25833,16,2,2,155.0
1376,L and T Emerald Isle ,210 Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,986.0,19979,21,2,2,197.0
1377,Unnamed Property,Middle Sector 20 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1150.0,7217,4,2,2,83.0
1378,Gurukrupa Aramus Complex ,Ulwe Sector 21 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1199.0,7172,4,2,2,86.0
1379,Pratik Regalia ,Ulwe Sector 21 Sector 21 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1107.0,6639,3,2,2,73.5
1380,Yogsiddhi Sumukh Hills ,703 Kandivali East Mumbai,Kandivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,620.0,26612,7,2,2,165.0
1381,Raunak Unnathi Woods Phase 6 ,Thane West Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,989.0,8594,5,2,2,85.0
1382,Prasham Vishal 2 ,602 Borivali West Mumbai,Borivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,904.0,33738,6,3,3,305.0
1383,Unnamed Property,Malad West Mumbai,Malad Mumbai,10+ Year,Ready To Move,Carpet Area,500.0,14400,5,1,1,72.0
1384,Vijay Park ,Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,10+ Year,Ready To Move,Super Built Up Area,600.0,8083,3,1,1,48.5
1385,Omkar Alta Monte ,Omkar Alta Monte Malad East Malad East Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1750.0,25645,39,3,3,318.0
1386,Haware Tiara ,Sector 13 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1550.0,10967,11,3,3,170.0
1387,Unnamed Property,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1200.0,7666,4,2,2,92.0
1388,Sai Ashirwad ,Mira Road Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Super Built Up Area,360.0,10138,0,1,1,36.5
1389,Advance Heights ,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1130.0,8849,13,2,2,100.0
