Property_Name,Location,Price,Rate_SqFt,Area_Tpye,Bedroom,Bathroom,Floor_No,Property_Age,Availability,Area_SqFt,Region,Price_Lakh
Shagun Residency ,Roadpali Navi Mumbai Mumbai,58 Lac,8579,Super Built Up Area,1,1,8,5 to 10 Year,Ready To Move,676,Roadpali Navi-Mumbai,58.0
JBD Excellence Tower ,Roadpali Navi Mumbai Mumbai,71.5 Lac,7009,Super Built Up Area,2,2,1,5 to 10 Year,Ready To Move,1020,Roadpali Navi-Mumbai,71.5
Tharwani Heritage ,Sector 7 Kharghar Navi Mumbai Mumbai,2 Crore,13793,Built Up Area,3,3,17,5 to 10 Year,Ready To Move,1450,Kharghar Navi-Mumbai,200.0
Arihant Aradhana ,Kharghar Navi Mumbai Mumbai,1.35 Crore,12000,Built Up Area,2,2,16,1 to 5 Year,Ready To Move,1125,Kharghar Navi-Mumbai,135.0
Paradise Sai Miracle ,Sector 35E Kharghar Navi Mumbai Mumbai,3.65 Crore,19210,Carpet Area,5,5,28,5 to 10 Year,Ready To Move,1900,Kharghar Navi-Mumbai,365.0
Balaji Heights ,000 Kharghar Navi Mumbai Mumbai,1.45 Crore,11328,Super Built Up Area,2,2,18,1 to 5 Year,Ready To Move,1280,Kharghar Navi-Mumbai,145.0
Mayfair Hillcrest ,104 Vikhroli West Central Mumbai suburbs Mumbai,1.65 Crore,16500,Super Built Up Area,2,2,1,1 to 5 Year,Ready To Move,1000,Central Mumbai,165.0
Hiranandani Regent Hill ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,1.45 Crore,37958,Carpet Area,1,2,12,0 to 1 Year,Ready To Move,382,Central Mumbai,145.0
Runwal Forests ,Kanjur marg west Central Mumbai suburbs Mumbai,2.95 Crore,27314,Carpet Area,3,3,48,1 to 5 Year,Ready To Move,1080,Central Mumbai,295.0
Kabra Prarthna ,001 Jvpd Scheme Mumbai South West Mumbai,4 Crore,50000,Carpet Area,2,3,4,1 to 5 Year,Ready To Move,800,Jvpd Mumbai,400.0
Unnamed Property,Sector 20 Kamothe Navi Mumbai Mumbai,47 Lac,7704,Super Built Up Area,1,1,2,5 to 10 Year,Ready To Move,610,Kamothe Navi-Mumbai,47.0
Unnamed Property,Khatiwali Vasind Mumbai Beyond Thane Mumbai,13.5 Lac,2160,Super Built Up Area,1,2,4,0 to 1 Year,Ready To Move,625,Mumbai Thane,13.5
Aristo Lloyds Estate ,Wadala Heights Chs Ltd Lloyds Estate Vidyalankar College Marg Wadala East Wadala East Mumbai Harbour Mumbai,1.48 Crore,26909,Carpet Area,2,1,12,10+ Year,Ready To Move,550,Mumbai Harbour,148.0
Sugee Preksha ,169 d Dadar Tt Hindu Colony Dadar East Mumbai Dadar East South Mumbai Mumbai,3.65 Crore,51994,Carpet Area,2,2,4,0 to 1 Year,Ready To Move,702,Dadar Mumbai,365.0
Aristo Lloyds Estate ,Wadala Heights Chs Ltd Lloyds Estate Vidyalankar College Marg Wadala East Wadala East Mumbai Harbour Mumbai,2.05 Crore,22828,Super Built Up Area,2,2,18,10+ Year,Ready To Move,898,Mumbai Harbour,205.0
Aristo Lloyds Estate ,Wadala Heights Chs Ltd Lloyds Estate Vidyalankar College Marg Wadala East Wadala East Mumbai Harbour Mumbai,1.44 Crore,26181,Carpet Area,1,2,10,10+ Year,Ready To Move,550,Mumbai Harbour,144.0
Ashirwad Apartments ,Aashirwad Dadasaheb Falke Marg Dadar East Dadar South Mumbai Mumbai,3.6 Crore,46153,Carpet Area,2,2,7,5 to 10 Year,Ready To Move,780,Dadar Mumbai,360.0
Aristo Lloyds Estate ,Unity Wadala Chs Ltd Lloyds Estate Vidyalankar College Marg Wadala East Wadala East Mumbai Harbour Mumbai,1.55 Crore,28181,Carpet Area,2,2,5,10+ Year,Ready To Move,550,Mumbai Harbour,155.0
Bhairaav Gold Crest Residency ,Ghansoli Navi Mumbai Mumbai,87 Lac,12554,Super Built Up Area,1,1,9,1 to 5 Year,Ready To Move,693,Ghansoli Navi-Mumbai,87.0
Unnamed Property,603 4 Sundervan Complex Mumbai,3.75 Crore,28846,Super Built Up Area,3,3,6,10+ Year,Ready To Move,1300,Sundervan Complex,375.0
Mittal Skylark ,1103 Azad Nagar Mumbai,3.2 Crore,37647,Carpet Area,3,3,11,0 to 1 Year,Ready To Move,850,Azad Nagar,320.0
Raval Tower ,Shastri Nagar Mumbai,5 Crore,29411,Built Up Area,3,3,17,10+ Year,Ready To Move,1700,Shastri Nagar,500.0
Serenity Complex ,Oshiwara Mumbai,2 Crore,26666,Carpet Area,2,2,4,10+ Year,Ready To Move,750,Oshiwara Mumbai,200.0
Marvel Shanti Heights ,Sector 11 Koparkhairane Navi Mumbai Mumbai,1.35 Crore,20769,Carpet Area,2,2,15,5 to 10 Year,Ready To Move,650,Koparkhairane Navi-Mumbai,135.0
Unnamed Property,Sector 21 Kamothe Navi Mumbai Mumbai,91 Lac,7583,Super Built Up Area,2,2,11,5 to 10 Year,Ready To Move,1200,Kamothe Navi-Mumbai,91.0
Rachna Mangala Residency ,1604 Taloja Navi Mumbai Mumbai,80 Lac,6956,Super Built Up Area,2,2,16,1 to 5 Year,Ready To Move,1150,Taloja Navi-Mumbai,80.0
Lodha New Cuffe Parade ,Wadala East Wadala Mumbai Harbour Mumbai,2.65 Crore,26633,Carpet Area,2,2,8,0 to 1 Year,Ready To Move,995,Mumbai Harbour,265.0
Rutu Enclave ,Anand Nagar Thane Mumbai,72 Lac,10588,Carpet Area,2,2,7,5 to 10 Year,Ready To Move,680,Nagar Thane,72.0
Aashapura Crown City ,Kalyan West Mumbai Beyond Thane Mumbai,55 Lac,10000,Carpet Area,1,1,1,1 to 5 Year,Ready To Move,550,Mumbai Thane,55.0
Seasons Orchid ,Kalyan West Mumbai Beyond Thane Mumbai,67 Lac,9571,Carpet Area,2,2,6,0 to 1 Year,Ready To Move,700,Mumbai Thane,67.0
Sai Satyam Homes ,Kalyan West Mumbai Beyond Thane Mumbai,54 Lac,8780,Carpet Area,2,2,14,0 to 1 Year,Ready To Move,615,Mumbai Thane,54.0
Sai Satyam Homes ,Kalyan West Mumbai Beyond Thane Mumbai,39 Lac,9397,Carpet Area,1,1,15,0 to 1 Year,Ready To Move,415,Mumbai Thane,39.0
Unnamed Property,10mins Walking Distance From Seawoods Rly Stn Sector 50 Seawoods Navi Mumbai Mumbai,85 Lac,11333,Built Up Area,1,1,4,5 to 10 Year,Ready To Move,750,Seawoods Navi-Mumbai,85.0
Unnamed Property,Near By Croma Sector 15 Belapur Navi Mumbai Mumbai,3.25 Crore,14508,Built Up Area,3,3,8,5 to 10 Year,Ready To Move,2240,Belapur Navi-Mumbai,325.0
Unnamed Property,10mins Walking Distance From Seawoods Rly Stn Sector 36 Seawoods Navi Mumbai Mumbai,1.9 Crore,17757,Built Up Area,2,2,18,5 to 10 Year,Ready To Move,1070,Seawoods Navi-Mumbai,190.0
Paradise Sai World City ,Panvel Navi Mumbai Mumbai,1.45 Crore,10357,Super Built Up Area,2,2,15,0 to 1 Year,Ready To Move,1400,Panvel Navi-Mumbai,145.0
Unnamed Property,501 Chikhal Dongari Mira Road And Beyond Mumbai,39.51 Lac,4011,Super Built Up Area,2,2,5,1 to 5 Year,Ready To Move,985,Mira Road,39.5
Monte South ,Byculla Byculla Mumbai Harbour Mumbai,5.39 Crore,46869,Carpet Area,3,3,17,0 to 1 Year,Ready To Move,1150,Mumbai Harbour,539.0
Monte South ,Byculla Byculla Mumbai Harbour Mumbai,4.23 Crore,44952,Carpet Area,2,2,29,0 to 1 Year,Ready To Move,941,Mumbai Harbour,423.0
Siddhivinayak Royal Meadows ,Kalyan West Mumbai Beyond Thane Mumbai,75 Lac,6944,Built Up Area,2,2,4,10+ Year,Ready To Move,1080,Mumbai Thane,75.0
Siddhivinayak Royal Meadows ,Kalyan West Mumbai Beyond Thane Mumbai,54.99 Lac,6873,Built Up Area,1,2,5,0 to 1 Year,Ready To Move,800,Mumbai Thane,55.0
Unnamed Property,Just Opposite Of Mansarovar Railway Station Sector 18 Kamothe Navi Mumbai Mumbai,47 Lac,7067,Super Built Up Area,1,1,3,1 to 5 Year,Ready To Move,665,Kamothe Navi-Mumbai,47.0
Virad Vinayak Mayureshwar Dham ,Adharwadi Mumbai Beyond Thane Mumbai,32 Lac,7356,Carpet Area,1,1,3,1 to 5 Year,Ready To Move,435,Mumbai Thane,32.0
Unnamed Property,Nr Mnr School Sector 8 Kamothe Navi Mumbai Mumbai,65 Lac,6467,Super Built Up Area,2,2,6,1 to 5 Year,Ready To Move,1005,Kamothe Navi-Mumbai,65.0
Kailash Homes ,Kalyan West Mumbai Beyond Thane Mumbai,41 Lac,9647,Carpet Area,1,1,2,0 to 1 Year,Ready To Move,425,Mumbai Thane,41.0
Omkar Alta Monte ,Omkar Alta Monte Malad East Mumbai,2.36 Crore,17101,Built Up Area,2,2,4,1 to 5 Year,Ready To Move,1380,Monte Malad,236.0
The Park Residences ,123 Oshiwara Mumbai,4.95 Crore,30937,Super Built Up Area,3,3,18,0 to 1 Year,Ready To Move,1600,Oshiwara Mumbai,495.0
JP North Celeste ,Vinay Nagar Mira Road And Beyond Mumbai,67 Lac,13958,Carpet Area,1,2,10,1 to 5 Year,Ready To Move,480,Mira Road,67.0
JP North ,Mira Road East Mira Road And Beyond Mumbai,95 Lac,14615,Carpet Area,2,2,19,1 to 5 Year,Ready To Move,650,Mira Road,95.0
Unnamed Property,Hatkesh Udhog Nagar Mira Road And Beyond Mumbai,1.25 Crore,18939,Carpet Area,2,2,2,1 to 5 Year,Ready To Move,660,Mira Road,125.0
Fressia Ranibello ,000 Malad East Mumbai,1.65 Crore,15714,Super Built Up Area,2,2,9,5 to 10 Year,Ready To Move,1050,Malad Mumbai,165.0
Neelsidhi Orbit ,Sector 11 Khanda Colony Navi Mumbai Mumbai,65 Lac,17379,Carpet Area,1,1,10,0 to 1 Year,Ready To Move,374,Colony Navi-Mumbai,65.0
Neelsidhi Regalia ,Sector 11 Khanda Colony Navi Mumbai Mumbai,1.05 Crore,17736,Carpet Area,2,2,10,0 to 1 Year,Ready To Move,592,Colony Navi-Mumbai,105.0
Rajesh Sea Star ,Sector 5 Ulwe Navi Mumbai Mumbai,95 Lac,8333,Super Built Up Area,2,2,6,1 to 5 Year,Ready To Move,1140,Ulwe Navi-Mumbai,95.0
Elegant Olympia ,Sector 21 Ulwe Navi Mumbai Mumbai,70 Lac,7142,Super Built Up Area,2,2,2,1 to 5 Year,Ready To Move,980,Ulwe Navi-Mumbai,70.0
Tulsi Aura ,Sector 8 Ghansoli Navi Mumbai Mumbai,82 Lac,12913,Super Built Up Area,1,2,6,1 to 5 Year,Ready To Move,635,Ghansoli Navi-Mumbai,82.0
Neelkanth Heights ,Ghansoli Navi Mumbai Mumbai,2.1 Crore,13249,Super Built Up Area,3,3,17,1 to 5 Year,Ready To Move,1585,Ghansoli Navi-Mumbai,210.0
Aurum Q Residences ,Ghansoli Navi Mumbai Mumbai,1.55 Crore,21527,Carpet Area,2,2,20,0 to 1 Year,Ready To Move,720,Ghansoli Navi-Mumbai,155.0
Unnamed Property,121 Vijay Nagari Thane Mumbai,1.25 Crore,12500,Carpet Area,3,3,4,1 to 5 Year,Ready To Move,1000,Nagari Thane,125.0
RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,2.1 Crore,12727,Super Built Up Area,3,3,12,0 to 1 Year,Ready To Move,1650,Ghansoli Navi-Mumbai,210.0
Unnamed Property,Hiranandani Estate Thane Mumbai,75 Lac,16666,Carpet Area,1,2,6,10+ Year,Ready To Move,450,Hiranandani-Estate Thane,75.0
VUB Paradise ,Kharghar Navi Mumbai Mumbai,86 Lac,11466,Carpet Area,2,2,3,1 to 5 Year,Ready To Move,750,Kharghar Navi-Mumbai,86.0
CIDCO Spaghetti Complex ,Sector 15 Kharghar Navi Mumbai Mumbai,70 Lac,10769,Super Built Up Area,1,1,6,10+ Year,Ready To Move,650,Kharghar Navi-Mumbai,70.0
Geomatrix Silver Crest ,101 Sector 25 Khandeshhwar Navi Mumbai Mumbai,58 Lac,8721,Super Built Up Area,1,1,1,1 to 5 Year,Ready To Move,665,Khandeshhwar Navi-Mumbai,58.0
Unnamed Property,112 Dombivli West Thane Mumbai,22 Lac,6197,Carpet Area,1,1,3,10+ Year,Ready To Move,355,Dombivli Thane,22.0
Kumar Vastu Pinnacle ,Borivali West Mumbai,1.91 Crore,27285,Built Up Area,2,2,12,0 to 1 Year,Ready To Move,700,Borivali Mumbai,191.0
Puraniks Capitol ,123 Kasar vadavali Thane Mumbai,87 Lac,8752,Super Built Up Area,2,2,15,1 to 5 Year,Ready To Move,994,Vadavali Thane,87.0
Yash Plaza ,Sector 9 Kamothe Sector 9 Kamothe Navi Mumbai Mumbai,46 Lac,8000,Super Built Up Area,1,1,5,10+ Year,Ready To Move,575,Kamothe Navi-Mumbai,46.0
Unnamed Property,Sector 31 Kamothe Navi Mumbai Mumbai,85 Lac,8095,Super Built Up Area,2,2,2,5 to 10 Year,Ready To Move,1050,Kamothe Navi-Mumbai,85.0
Tirupati Icon ,Sector 20 Kamothe Sector 20 Kamothe Navi Mumbai Mumbai,65 Lac,6500,Super Built Up Area,2,1,1,10+ Year,Ready To Move,1000,Kamothe Navi-Mumbai,65.0
Resicom Sai Miracle ,Sector 22 Kamothe Sector 22 Kamothe Navi Mumbai Mumbai,55 Lac,8593,Super Built Up Area,1,1,4,5 to 10 Year,Ready To Move,640,Kamothe Navi-Mumbai,55.0
Rosa Gardenia ,121 Kasar vadavali Thane Mumbai,75 Lac,7894,Super Built Up Area,2,2,9,1 to 5 Year,Ready To Move,950,Vadavali Thane,75.0
Unnamed Property,Taloja Navi Mumbai Mumbai,35 Lac,5384,Built Up Area,1,1,6,1 to 5 Year,Ready To Move,650,Taloja Navi-Mumbai,35.0
Unnamed Property,Woodpark Hiranandani Estate Hiranandani Estate Thane Mumbai,2.9 Crore,28684,Carpet Area,3,3,6,5 to 10 Year,Ready To Move,1011,Hiranandani-Estate Thane,290.0
SM Vision ,Sector 9 Ulwe Navi Mumbai Mumbai,1.24 Crore,9841,Built Up Area,2,2,3,1 to 5 Year,Ready To Move,1260,Ulwe Navi-Mumbai,124.0
Bhagwati Imperia ,Ulwe Navi Mumbai Mumbai,2.02 Crore,11882,Super Built Up Area,3,3,11,1 to 5 Year,Ready To Move,1700,Ulwe Navi-Mumbai,202.0
Trishul Symphony ,Kharghar Sector 19 Kharghar Navi Mumbai Mumbai,1.95 Crore,10540,Super Built Up Area,3,3,16,1 to 5 Year,Ready To Move,1850,Kharghar Navi-Mumbai,195.0
Sai Yashaskaram ,Kharghar Sector 27 Kharghar Navi Mumbai Mumbai,1.95 Crore,10540,Super Built Up Area,3,3,6,5 to 10 Year,Ready To Move,1850,Kharghar Navi-Mumbai,195.0
Om Rudra ,Kharghar Kharghar Navi Mumbai Mumbai,2.1 Crore,12844,Super Built Up Area,3,3,18,5 to 10 Year,Ready To Move,1635,Kharghar Navi-Mumbai,210.0
Kasturi Heights ,Kharghar Sector 20 Kharghar Navi Mumbai Mumbai,2.05 Crore,11081,Super Built Up Area,3,3,10,5 to 10 Year,Ready To Move,1850,Kharghar Navi-Mumbai,205.0
Saurabh Avenue ,701 Sector 10 Kharghar Navi Mumbai Mumbai,90 Lac,11538,Carpet Area,2,2,7,5 to 10 Year,Ready To Move,780,Kharghar Navi-Mumbai,90.0
Sai Prasad Residency ,404 Sector 10 Kharghar Navi Mumbai Mumbai,65 Lac,9774,Super Built Up Area,1,1,4,5 to 10 Year,Ready To Move,665,Kharghar Navi-Mumbai,65.0
Sunrise Glory ,Shilphata Navi Mumbai Mumbai,39 Lac,5735,Super Built Up Area,1,2,7,1 to 5 Year,Ready To Move,680,Shilphata Navi-Mumbai,39.0
Today Imperia ,Ulwe Sector 17 Ulwe Navi Mumbai Mumbai,97 Lac,8016,Super Built Up Area,2,2,5,5 to 10 Year,Ready To Move,1210,Ulwe Navi-Mumbai,97.0
National Marvel ,Sector 17 Ulwe Navi Mumbai Mumbai,1.28 Crore,8231,Super Built Up Area,3,3,8,5 to 10 Year,Ready To Move,1555,Ulwe Navi-Mumbai,128.0
Runwal Forests ,Runwal Forest T2 Kanjur marg west Central Mumbai suburbs Mumbai,1.24 Crore,26326,Super Built Up Area,2,2,23,0 to 1 Year,Ready To Move,620,Central Mumbai,124.0
Runwal Forests ,Runwal Forest Chs Kanjur marg west Central Mumbai suburbs Mumbai,1.65 Crore,17460,Super Built Up Area,2,2,15,0 to 1 Year,Ready To Move,945,Central Mumbai,165.0
Runwal Forests ,Tower 7 Kanjur marg west Central Mumbai suburbs Mumbai,1.9 Crore,24643,Super Built Up Area,2,2,18,0 to 1 Year,Ready To Move,1050,Central Mumbai,190.0
Unnamed Property,Worli South Mumbai Mumbai,2.4 Crore,41025,Carpet Area,2,2,5,1 to 5 Year,Ready To Move,585,Worli Mumbai,240.0
AR Elanza ,Prabhadevi South Mumbai Mumbai,9.5 Crore,59226,Carpet Area,4,4,22,5 to 10 Year,Ready To Move,1604,Prabhadevi Mumbai,950.0
AR Elanza ,Prabhadevi South Mumbai Mumbai,4 Crore,49689,Carpet Area,2,2,8,5 to 10 Year,Ready To Move,805,Prabhadevi Mumbai,400.0
Hiranandani Avalon ,Hhiranandani Garden Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,3.2 Crore,30476,Super Built Up Area,2,2,26,10+ Year,Ready To Move,1050,Central Mumbai,320.0
RNA NG Vikas ,Beverly Park Mira Road Mira Road And Beyond Mumbai,55 Lac,9243,Super Built Up Area,1,1,5,5 to 10 Year,Ready To Move,595,Mira Road,55.0
Goodwill Heritage ,Sector 16 Koparkhairane Navi Mumbai Mumbai,1.15 Crore,8942,Super Built Up Area,2,2,6,5 to 10 Year,Ready To Move,1286,Koparkhairane Navi-Mumbai,115.0
Evershine Millennium Paradise ,Thakur Village Mumbai,2.65 Crore,24090,Carpet Area,3,3,4,10+ Year,Ready To Move,1100,Thakur Village,265.0
Aurum Q Residences ,Ghansoli Navi Mumbai Mumbai,1.7 Crore,14693,Super Built Up Area,2,2,13,0 to 1 Year,Ready To Move,1157,Ghansoli Navi-Mumbai,170.0
Unnamed Property,Sector 50 Seawoods Navi Mumbai Mumbai,90 Lac,12857,Carpet Area,2,2,3,5 to 10 Year,Ready To Move,700,Seawoods Navi-Mumbai,90.0
Sai Kaveesha ,Taloja Navi Mumbai Mumbai,39 Lac,116175,Carpet Area,1,1,1,0 to 1 Year,Ready To Move,33.57,Taloja Navi-Mumbai,39.0
Sonal Dev Con Gopal Krishna ,901 Belapur Navi Mumbai Mumbai,3 Crore,16666,Super Built Up Area,3,3,9,0 to 1 Year,Ready To Move,1800,Belapur Navi-Mumbai,300.0
Monte South ,Byculla Byculla Mumbai Harbour Mumbai,5.64 Crore,46960,Carpet Area,3,3,18,0 to 1 Year,Ready To Move,1201,Mumbai Harbour,564.0
Lodha Dioro ,Wadala East Wadala Mumbai Harbour Mumbai,4.62 Crore,34736,Carpet Area,3,4,16,0 to 1 Year,Ready To Move,1330,Mumbai Harbour,462.0
Unnamed Property,Dadar East Dadar East South Mumbai Mumbai,5.99 Crore,37437,Carpet Area,3,4,45,0 to 1 Year,Ready To Move,1600,Dadar Mumbai,599.0
Unnamed Property,Dadar East Dadar East South Mumbai Mumbai,8 Crore,38095,Carpet Area,4,4,3,0 to 1 Year,Ready To Move,2100,Dadar Mumbai,800.0
Kulswamini Srushti Residency ,106 Dombivli East Thane Mumbai,75 Lac,7614,Super Built Up Area,2,2,1,5 to 10 Year,Ready To Move,985,Dombivli Thane,75.0
Aboli Estate ,106 Dombivli East Thane Mumbai,42.25 Lac,9388,Carpet Area,1,1,1,0 to 1 Year,Ready To Move,450,Dombivli Thane,42.2
Aboli Estate ,105 Dombivli East Thane Mumbai,62.14 Lac,9288,Carpet Area,2,2,1,0 to 1 Year,Ready To Move,669,Dombivli Thane,62.1
Mangeshi Dazzle ,1102 Dombivli East Thane Mumbai,81.6 Lac,8500,Super Built Up Area,2,2,11,0 to 1 Year,Ready To Move,960,Dombivli Thane,81.6
Kosmos Nandanvan ,Borivali West Mumbai,2.35 Crore,33812,Carpet Area,2,2,14,0 to 1 Year,Ready To Move,695,Borivali Mumbai,235.0
K Guru Residency ,Borivali West Mumbai,1.85 Crore,22424,Carpet Area,2,2,2,5 to 10 Year,Ready To Move,825,Borivali Mumbai,185.0
Haware Splendor ,601 Sector 20 Kharghar Navi Mumbai Mumbai,1.1 Crore,12941,Super Built Up Area,2,2,7,1 to 5 Year,Ready To Move,850,Kharghar Navi-Mumbai,110.0
Jalvayu Vihar ,601 Sector 20 Kharghar Navi Mumbai Mumbai,1.2 Crore,11428,Super Built Up Area,2,2,6,5 to 10 Year,Ready To Move,1050,Kharghar Navi-Mumbai,120.0
Shah Royale ,601 Sector 2 Kharghar Navi Mumbai Mumbai,1.4 Crore,12500,Super Built Up Area,2,2,4,5 to 10 Year,Ready To Move,1120,Kharghar Navi-Mumbai,140.0
R S Grandeur ,902 Sector 19 Kharghar Navi Mumbai Mumbai,1.25 Crore,10330,Super Built Up Area,2,2,11,5 to 10 Year,Ready To Move,1210,Kharghar Navi-Mumbai,125.0
Sai Yashaskaram ,902 Sector 27 Kharghar Navi Mumbai Mumbai,1.3 Crore,11304,Super Built Up Area,2,2,18,5 to 10 Year,Ready To Move,1150,Kharghar Navi-Mumbai,130.0
Kasturi Heights ,802 Sector 20 Kharghar Navi Mumbai Mumbai,2 Crore,12269,Super Built Up Area,3,3,10,5 to 10 Year,Ready To Move,1630,Kharghar Navi-Mumbai,200.0
Neelsidhi Anexo ,Ghansoli Navi Mumbai Mumbai,95 Lac,13571,Super Built Up Area,1,2,7,0 to 1 Year,Ready To Move,700,Ghansoli Navi-Mumbai,95.0
Poonam Valley ,901 Miragaon Mira Road And Beyond Mumbai,88 Lac,8543,Super Built Up Area,2,2,7,0 to 1 Year,Ready To Move,1030,Mira Road,88.0
Unnamed Property,Borivali East Mumbai,2.6 Crore,28888,Carpet Area,3,3,6,10+ Year,Ready To Move,900,Borivali Mumbai,260.0
Pyramid Elements ,Airoli Navi Mumbai Mumbai,1.26 Crore,12000,Super Built Up Area,2,2,27,0 to 1 Year,Ready To Move,1050,Airoli Navi-Mumbai,126.0
Gundecha Asta ,Mehra Compound Sakinaka Mumbai,2.2 Crore,24830,Carpet Area,3,2,6,1 to 5 Year,Ready To Move,886,Compound Sakinaka,220.0
Oak Residency ,Ghansoli Navi Mumbai Mumbai,1.1 Crore,10679,Super Built Up Area,2,2,5,1 to 5 Year,Ready To Move,1030,Ghansoli Navi-Mumbai,110.0
Balaji Mayuresh Delta ,Ulwe Navi Mumbai Mumbai,1.27 Crore,10240,Built Up Area,2,2,10,1 to 5 Year,Ready To Move,1245,Ulwe Navi-Mumbai,127.0
Raas Leela Vrindavan ,Ramdev Park Mira Road Mira Road And Beyond Mumbai,74 Lac,11384,Carpet Area,2,2,2,0 to 1 Year,Ready To Move,650,Mira Road,74.0
Haware Citi ,200 Thane West Thane Mumbai,73 Lac,10167,Carpet Area,3,3,2,5 to 10 Year,Ready To Move,718,Thane Thane,73.0
Unnamed Property,103 Mira Road Mira Road And Beyond Mumbai,58 Lac,8923,Super Built Up Area,1,2,1,0 to 1 Year,Ready To Move,650,Mira Road,58.0
Unique Shanti The Address ,304 Mira Road Mira Road And Beyond Mumbai,95 Lac,8962,Super Built Up Area,2,2,2,0 to 1 Year,Ready To Move,1060,Mira Road,95.0
Unique Shanti The Address ,201 Mira Road Mira Road And Beyond Mumbai,69 Lac,15333,Carpet Area,1,2,2,0 to 1 Year,Ready To Move,450,Mira Road,69.0
Giriraj Sarvoday Greens ,Bhiwandi Mumbai Beyond Thane Mumbai,49.5 Lac,4714,Super Built Up Area,2,2,10,0 to 1 Year,Ready To Move,1050,Mumbai Thane,49.5
Anjani Sparsh ,204 Mira Road East Mira Road And Beyond Mumbai,62 Lac,8920,Super Built Up Area,1,2,2,1 to 5 Year,Ready To Move,695,Mira Road,62.0
Unnamed Property,Sector 15 Ghansoli Navi Mumbai Mumbai,1.1 Crore,10476,Super Built Up Area,2,2,2,5 to 10 Year,Ready To Move,1050,Ghansoli Navi-Mumbai,110.0
Unnamed Property,Ghansoli Navi Mumbai Mumbai,2.8 Crore,15469,Super Built Up Area,3,3,37,1 to 5 Year,Ready To Move,1810,Ghansoli Navi-Mumbai,280.0
RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,2 Crore,14015,Super Built Up Area,2,2,20,1 to 5 Year,Ready To Move,1427,Ghansoli Navi-Mumbai,200.0
RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,1.8 Crore,13856,Super Built Up Area,2,2,10,1 to 5 Year,Ready To Move,1299,Ghansoli Navi-Mumbai,180.0
Unnamed Property,1004 Dombivli East Thane Mumbai,75 Lac,8333,Super Built Up Area,2,2,10,0 to 1 Year,Ready To Move,900,Dombivli Thane,75.0
Unnamed Property,Bhaskar Colony Naupada Thane West Thane Mumbai,1.11 Crore,17076,Super Built Up Area,1,1,5,0 to 1 Year,Ready To Move,650,Thane Thane,111.0
Unnamed Property,Naupada Thane Mumbai,1.65 Crore,14335,Super Built Up Area,2,2,4,0 to 1 Year,Ready To Move,1151,Naupada Thane,165.0
Deep Auralis The Twins ,Teen Hath Naka Thane Mumbai,2.13 Crore,15777,Super Built Up Area,2,3,26,0 to 1 Year,Ready To Move,1350,Teen-Hath-Naka Thane,213.0
Deep Auralis The Twins ,Teen Hath Naka Thane Mumbai,2.35 Crore,12239,Super Built Up Area,3,4,1,0 to 1 Year,Ready To Move,1920,Teen-Hath-Naka Thane,235.0
Pridedream Giriraj Dreams ,Naupada Thane Mumbai,2.55 Crore,16451,Super Built Up Area,2,2,22,0 to 1 Year,Ready To Move,1550,Naupada Thane,255.0
Pridedream Giriraj Dreams ,Naupada Thane Mumbai,1.95 Crore,16956,Super Built Up Area,2,2,22,0 to 1 Year,Ready To Move,1150,Naupada Thane,195.0
Pridedream Giriraj Dreams ,Naupada Thane Mumbai,2.11 Crore,16880,Super Built Up Area,2,2,22,0 to 1 Year,Ready To Move,1250,Naupada Thane,211.0
Pridedream Giriraj Dreams ,Naupada Thane Mumbai,2.91 Crore,18187,Super Built Up Area,3,3,26,0 to 1 Year,Ready To Move,1600,Naupada Thane,291.0
Pridedream Giriraj Dreams ,Naupada Thane Mumbai,2.87 Crore,17937,Super Built Up Area,3,3,26,0 to 1 Year,Ready To Move,1600,Naupada Thane,287.0
Pridedream Giriraj Dreams ,Naupada Thane Mumbai,2.06 Crore,17166,Super Built Up Area,2,2,26,0 to 1 Year,Ready To Move,1200,Naupada Thane,206.0
Unnamed Property,Kharghar Navi Mumbai Mumbai,55 Lac,8017,Super Built Up Area,1,2,1,5 to 10 Year,Ready To Move,686,Kharghar Navi-Mumbai,55.0
Siddhi Belleza ,Kutak Bandhan Navi Mumbai Mumbai,94 Lac,7932,Super Built Up Area,2,2,9,1 to 5 Year,Ready To Move,1185,Bandhan Navi-Mumbai,94.0
Unnamed Property,0000 Kalher Thane Mumbai,25.03 Lac,6075,Carpet Area,1,2,2,0 to 1 Year,Ready To Move,412,Kalher Thane,25.0
Unnamed Property,000 Kalher Thane Mumbai,27.63 Lac,4500,Built Up Area,1,1,2,0 to 1 Year,Ready To Move,614,Kalher Thane,27.6
Unnamed Property,Naupada Thane Mumbai,1.59 Crore,23043,Carpet Area,2,2,6,0 to 1 Year,Ready To Move,690,Naupada Thane,159.0
Kanakia Sevens ,5 Min Marol Metro Stn Near International Airpot Andheri Kurla Road Marol Andheri East Marol Mumbai,1.84 Crore,21621,Super Built Up Area,2,2,4,0 to 1 Year,Ready To Move,1250,Andheri Marol,184.0
